dma_name,dma_id,term,week,score,rank,refresh_date
Greenville-New Bern-Washington NC,545,Ariana Grande,1/20/2019,54,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,2/10/2019,82,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,2/17/2019,69,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/17/2019,50,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/31/2019,33,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,4/14/2019,31,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,4/21/2019,38,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,4/28/2019,46,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/12/2019,24,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/9/2019,33,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/16/2019,41,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,7/7/2019,22,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,8/4/2019,38,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,8/11/2019,18,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/15/2019,18,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/22/2019,12,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/29/2019,20,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/6/2019,35,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/13/2019,11,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/20/2019,21,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/3/2019,24,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/24/2019,41,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,12/1/2019,34,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,12/15/2019,28,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,12/22/2019,12,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,1/12/2020,21,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,1/26/2020,52,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,2/2/2020,25,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,2/9/2020,13,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,2/16/2020,16,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,2/23/2020,32,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/1/2020,13,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,3/8/2020,10,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,4/12/2020,29,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/3/2020,28,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/17/2020,20,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/24/2020,5,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,5/31/2020,13,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/7/2020,18,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/14/2020,14,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/21/2020,18,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,6/28/2020,20,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,7/19/2020,32,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,8/2/2020,17,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,8/30/2020,15,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/6/2020,9,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/13/2020,17,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,9/20/2020,11,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/4/2020,17,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/11/2020,19,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,10/25/2020,61,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/1/2020,23,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/15/2020,51,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/22/2020,23,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,11/29/2020,28,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,12/13/2020,39,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,1/3/2021,26,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,1/10/2021,20,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,1/17/2021,20,13,9/14/2023
Greenville-New Bern-Washington NC,545,Ariana Grande,2/7/2021,33,13,9/14/2023
